field,score
eth_eth.src_tree_eth.src.oui_3,837
tcp_tcp.ack_1,836
eth_eth.src_tree_eth.ig_1,835
tcp_tcp.nxtseq_3,834
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_tree_tls.handshake.sig_hash_hash_1,833
tls_tls.record_tls.handshake_Extension: psk_key_exchange_modes (len=2)_tls.handshake.extension.type_3,832
tls_tls.record_tls.handshake_Extension: server_name (len=16)_tls.handshake.extension.type_2,831
tls_tls.record_tls.handshake_Extension: extended_master_secret (len=0)_tls.handshake.extension.type_3,830
eth_eth.dst_tree_eth.addr_3,829
eth_eth.dst_tree_eth.dst.oui_resolved_0,828
tls_tls.record_tls.handshake_tls.handshake.length_3,827
frame_frame.number_3,826
tcp_tcp.completeness_3,825
ip_ip.dst_3,824
frame_frame.offset_shift_1,823
ip_ip.hdr_len_2,822
ip_ip.flags_0,821
tcp_tcp.urgent_pointer_3,820
frame_frame.offset_shift_2,819
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_2,818
tls_tls.record_tls.handshake_Extension: server_name (len=23)_Server Name Indication extension_tls.handshake.extensions_server_name_len_3,817
ip_ip.src_0,816
tls_tls.record_tls.handshake_Extension: server_name (len=15)_tls.handshake.extension.type_2,815
tls_tls.record_tls.handshake_Extension: session_ticket (len=0)_tls.handshake.extension.len_2,814
tls_tls.record_tls.handshake_Extension: server_name (len=19)_Server Name Indication extension_tls.handshake.extensions_server_name_type_1,813
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_2,812
frame_frame.time_delta_2,811
tls_tls.record_tls.handshake_Extension: supported_versions (len=5)_tls.handshake.extensions.supported_version_2,810
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extension.len_2,809
ip_ip.flags_tree_ip.flags.mf_2,808
