field,score
tls_tls.record_tls.handshake_Extension: session_ticket (len=0)_tls.handshake.extension.data_4,536
eth_eth.src_tree_eth.addr_resolved_2,535
tls_tls.record_tls.handshake_Extension: supported_groups (len=8)_tls.handshake.extension.len_1,534
ip_ip.hdr_len_4,533
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extensions_status_request_exts_len_2,532
tls_tls.record_tls.handshake_Extension: supported_groups (len=6)_tls.handshake.extension.len_1,531
ip_ip.version_3,530
tcp_tcp.flags_tree_tcp.flags.reset_1,529
tls_tls.record_tls.handshake_Extension: server_name (len=20)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_3,528
tls_tls.record_tls.handshake_Extension: renegotiation_info (len=1)_tls.handshake.extension.type_2,527
eth_eth.dst_tree_eth.dst_resolved_1,526
tcp_tcp.flags_tree_tcp.flags.ns_3,525
tls_tls.record_tls.handshake_Extension: supported_groups (len=6)_tls.handshake.extensions_supported_groups_length_4,524
http_GET / HTTP/1.1\r\n__ws.expert__ws.expert.group_0,523
ip_ip.len_2,522
tls_tls.record_tls.handshake_Extension: server_name (len=23)_Server Name Indication extension_tls.handshake.extensions_server_name_len_4,521
tls_tls.record_tls.handshake_tls.handshake.ja3_full_4,520
tls_tls.record_tls.handshake_Extension: server_name (len=21)_Server Name Indication extension_tls.handshake.extensions_server_name_len_1,519
tcp_tcp.flags_2,518
tls_tls.record_tls.handshake_Extension: renegotiation_info (len=1)_tls.handshake.extension.type_3,517
ip_ip.src_2,516
http_http.connection_0,515
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.extension.type_2,514
tls_tls.record_tls.handshake_tls.handshake.extensions_length_2,513
tcp_tcp.window_size_scalefactor_1,512
tls_tls.record_tls.handshake_Extension: server_name (len=26)_tls.handshake.extension.type_1,511
tls_tls.record_tls.handshake_Extension: server_name (len=21)_Server Name Indication extension_tls.handshake.extensions_server_name_2,510
tcp_tcp.checksum_4,509
tls_tls.record_tls.handshake_Extension: ec_point_formats (len=2)_tls.handshake.extensions_ec_point_formats_length_1,508
tls_tls.record_tls.handshake_Extension: server_name (len=21)_tls.handshake.extension.len_4,507
eth_eth.dst_tree_eth.dst.oui_1,506
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.sig_hash_alg_len_1,505
frame_frame.time_epoch_3,504
tls_tls.record_tls.handshake_Extension: server_name (len=24)_Server Name Indication extension_tls.handshake.extensions_server_name_len_4,503
tls_tls.record_tls.handshake_Extension: server_name (len=15)_Server Name Indication extension_tls.handshake.extensions_server_name_len_3,502
tls_tls.record_tls.handshake_Extension: server_name (len=16)_Server Name Indication extension_tls.handshake.extensions_server_name_len_3,501
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extension.len_1,500
tls_tls.record_tls.handshake_Extension: server_name (len=19)_Server Name Indication extension_tls.handshake.extensions_server_name_type_3,499
tcp_tcp.flags_tree_tcp.flags.syn_2,498
tls_tls.record_tls.handshake_Extension: server_name (len=25)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_1,497
tls_tls.record_tls.handshake_Extension: server_name (len=17)_Server Name Indication extension_tls.handshake.extensions_server_name_len_2,496
tcp_tcp.dstport_2,495
tls_tls.record_tls.handshake_Extension: server_name (len=26)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_1,494
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.extension.len_2,493
tls_tls.record_tls.handshake_Extension: server_name (len=23)_Server Name Indication extension_tls.handshake.extensions_server_name_3,492
eth_eth.type_1,491
tls_tls.record_tls.handshake_Extension: server_name (len=23)_Server Name Indication extension_tls.handshake.extensions_server_name_len_2,490
eth_eth.dst_tree_eth.addr.oui_4,489
tcp_tcp.flags_tree_tcp.flags.cwr_3,488
tcp_Timestamps_tcp.time_relative_1,487
ip_ip.checksum_3,486
tls_tls.record_tls.handshake_Extension: server_name (len=20)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_4,485
tls_tls.record_tls.record.length_2,484
"tls_tls.record_tls.handshake_Extension: key_share (len=38)_Key Share extension_Key Share Entry: Group: x25519, Key Exchange length: 32_tls.handshake.extensions_key_share_key_exchange_length_4",483
tcp_tcp.srcport_4,482
tls_tls.record_tls.handshake_Extension: application_layer_protocol_negotiation (len=14)_tls.handshake.extension.len_2,481
tls_tls.record_tls.handshake_Extension: supported_groups (len=6)_tls.handshake.extension.type_2,480
tcp_tcp.flags_tree_tcp.flags.reset_2,479
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.extension.type_3,478
eth_eth.dst_tree_eth.ig_2,477
"tls_tls.record_tls.handshake_Extension: key_share (len=38)_Key Share extension_Key Share Entry: Group: x25519, Key Exchange length: 32_tls.handshake.extensions_key_share_key_exchange_1",476
tls_tls.record_tls.handshake_Extension: server_name (len=19)_tls.handshake.extension.type_2,475
tls_tls.record_tls.handshake_Extension: application_layer_protocol_negotiation (len=14)_tls.handshake.extensions_alpn_len_2,474
eth_eth.src_tree_eth.addr_1,473
tcp_tcp.srcport_0,472
tls_tls.record_tls.handshake_Extension: server_name (len=17)_tls.handshake.extension.len_2,471
tcp_tcp.dstport_3,470
eth_eth.src_tree_eth.src.lg_3,469
tcp_tcp.window_size_value_4,468
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.extension.type_2,467
frame_frame.encap_type_4,466
tcp_tcp.analysis_tcp.analysis.bytes_in_flight_2,465
tls_tls.record_tls.handshake_Extension: supported_versions (len=5)_tls.handshake.extension.type_1,464
tls_tls.record_tls.handshake_Extension: server_name (len=23)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_1,463
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_tree_tls.handshake.sig_hash_hash_3,462
frame_frame.protocols_2,461
eth_eth.dst_tree_eth.addr.oui_resolved_2,460
tls_tls.record_tls.handshake_tls.handshake.cipher_suites_length_4,459
tcp_tcp.flags_tree_tcp.flags.urg_2,458
tls_tls.record_tls.record.content_type_1,457
frame_frame.marked_1,456
tls_tls.record_tls.handshake_Extension: supported_versions (len=5)_tls.handshake.extension.len_2,455
tcp_tcp.seq_1,454
tls_tls.record_tls.handshake_Extension: server_name (len=15)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_1,453
eth_eth.src_tree_eth.lg_1,452
eth_eth.src_tree_eth.src_resolved_3,451
tls_tls.record_tls.handshake_tls.handshake.length_1,450
tcp_Timestamps_tcp.time_delta_1,449
eth_eth.dst_tree_eth.addr_resolved_1,448
tls_tls.record_tls.handshake_Extension: server_name (len=24)_Server Name Indication extension_tls.handshake.extensions_server_name_type_1,447
tcp_tcp.flags_tree_tcp.flags.ece_3,446
tls_tls.record_tls.handshake_Extension: psk_key_exchange_modes (len=2)_tls.extension.psk_ke_modes_length_3,445
tcp_tcp.flags_tree_tcp.flags.fin_3,444
frame_frame.len_3,443
tls_tls.record_tls.handshake_Extension: supported_groups (len=6)_tls.handshake.extension.len_2,442
ip_ip.dsfield_tree_ip.dsfield.ecn_3,441
tls_tls.record_tls.handshake_Extension: supported_versions (len=5)_tls.handshake.extension.len_1,440
tls_tls.record_tls.handshake_Extension: session_ticket (len=0)_tls.handshake.extension.type_3,439
tls_tls.record_tls.handshake_Extension: key_share (len=38)_tls.handshake.extension.len_1,438
tls_tls.record_tls.handshake_Extension: server_name (len=20)_tls.handshake.extension.type_3,437
tls_tls.record_tls.handshake_Extension: server_name (len=19)_tls.handshake.extension.len_2,436
eth_eth.dst_tree_eth.addr_resolved_2,435
tls_tls.record_tls.handshake_Extension: psk_key_exchange_modes (len=2)_tls.extension.psk_ke_mode_2,434
tcp_tcp.seq_3,433
eth_eth.dst_tree_eth.dst.ig_1,432
eth_eth.dst_tree_eth.addr.oui_resolved_3,431
tls_tls.record_tls.handshake_Extension: server_name (len=15)_Server Name Indication extension_tls.handshake.extensions_server_name_1,430
tls_tls.record_tls.handshake_Extension: extended_master_secret (len=0)_tls.handshake.extension.type_4,429
tls_tls.record_tls.handshake_Extension: server_name (len=19)_tls.handshake.extension.type_1,428
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extensions_status_request_type_4,427
eth_eth.dst_tree_eth.dst.lg_2,426
frame_frame.number_1,425
frame_frame.number_4,424
tcp_tcp.window_size_2,423
tls_tls.record_tls.handshake_Extension: supported_groups (len=8)_tls.handshake.extensions_supported_groups_tls.handshake.extensions_supported_group_2,422
tls_tls.record_tls.handshake_Extension: server_name (len=24)_Server Name Indication extension_tls.handshake.extensions_server_name_type_4,421
frame_frame.time_relative_0,420
tls_tls.record_tls.handshake_Extension: server_name (len=26)_Server Name Indication extension_tls.handshake.extensions_server_name_len_1,419
eth_eth.dst_tree_eth.addr_4,418
ip_ip.frag_offset_1,417
tls_tls.record_tls.handshake_Extension: server_name (len=25)_tls.handshake.extension.type_1,416
tls_tls.record_tls.handshake_tls.handshake.type_1,415
tls_tls.record_tls.handshake_Extension: supported_groups (len=8)_tls.handshake.extension.type_1,414
tls_tls.record_tls.handshake_Extension: supported_groups (len=8)_tls.handshake.extension.type_2,413
tls_tls.record_tls.handshake_Extension: server_name (len=23)_Server Name Indication extension_tls.handshake.extensions_server_name_1,412
tcp_tcp.flags_tree_tcp.flags.res_2,411
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=16)_tls.handshake.extension.type_1,410
"tls_tls.record_tls.handshake_Extension: key_share (len=38)_Key Share extension_Key Share Entry: Group: x25519, Key Exchange length: 32_tls.handshake.extensions_key_share_group_1",409
ip_ip.version_4,408
tls_tls.record_tls.handshake_Extension: ec_point_formats (len=2)_tls.handshake.extension.type_3,407
tls_tls.record_tls.handshake_Extension: server_name (len=25)_Server Name Indication extension_tls.handshake.extensions_server_name_type_1,406
tls_tls.record_tls.handshake_Extension: server_name (len=17)_Server Name Indication extension_tls.handshake.extensions_server_name_2,405
eth_eth.src_tree_eth.src.oui_resolved_1,404
tls_tls.record_tls.handshake_Extension: supported_groups (len=8)_tls.handshake.extensions_supported_groups_length_1,403
tls_tls.record_tls.handshake_Extension: post_handshake_auth (len=0)_tls.handshake.extension.len_1,402
tcp_tcp.hdr_len_1,401
tls_tls.record_tls.handshake_Extension: renegotiation_info (len=1)_tls.handshake.extension.len_3,400
tls_tls.record_tls.handshake_Extension: post_handshake_auth (len=0)_tls.handshake.extension.type_1,399
frame_frame.protocols_3,398
tls_tls.record_tls.handshake_Extension: server_name (len=19)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_4,397
tcp_tcp.analysis_tcp.analysis.push_bytes_sent_3,396
frame_frame.number_0,395
ip_ip.version_0,394
eth_eth.src_tree_eth.addr.oui_resolved_3,393
frame_frame.time_relative_4,392
tcp_tcp.analysis_tcp.analysis.bytes_in_flight_4,391
tls_tls.record_tls.handshake_tls.handshake.extensions_length_3,390
http_\r\n_0,389
tcp_tcp.len_3,388
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_tree_tls.handshake.sig_hash_hash_4,387
frame_frame.offset_shift_4,386
eth_eth.src_tree_eth.ig_4,385
tls_tls.record_tls.handshake_Extension: session_ticket (len=0)_tls.handshake.extension.len_4,384
frame_frame.marked_0,383
tls_tls.record_tls.handshake_Extension: server_name (len=15)_Server Name Indication extension_tls.handshake.extensions_server_name_type_4,382
frame_frame.time_delta_4,381
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extension.len_4,380
tls_tls.record_tls.handshake_Extension: server_name (len=21)_Server Name Indication extension_tls.handshake.extensions_server_name_type_3,379
ip_ip.dsfield_0,378
tls_tls.record_tls.handshake_Extension: renegotiation_info (len=1)_tls.handshake.extension.len_1,377
ip_ip.flags_tree_ip.flags.mf_4,376
tls_tls.record_tls.handshake_Extension: key_share (len=38)_Key Share extension_tls.handshake.extensions_key_share_client_length_4,375
tcp_Timestamps_tcp.time_relative_4,374
ip_ip.dsfield_tree_ip.dsfield.dscp_0,373
tls_tls.record_tls.handshake_Extension: server_name (len=17)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_2,372
ip_ip.flags_tree_ip.flags.df_1,371
tls_tls.record_tls.handshake_Extension: server_name (len=23)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_4,370
tls_tls.record_tls.handshake_Extension: psk_key_exchange_modes (len=2)_tls.extension.psk_ke_mode_3,369
eth_eth.dst_tree_eth.addr_0,368
tls_tls.record_tls.handshake_Extension: supported_versions (len=5)_tls.handshake.extensions.supported_versions_len_1,367
tls_tls.record_tls.handshake_Extension: server_name (len=16)_Server Name Indication extension_tls.handshake.extensions_server_name_4,366
tls_tls.record_tls.handshake_Extension: server_name (len=16)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_1,365
tcp_tcp.window_size_value_3,364
eth_eth.src_3,363
tcp_tcp.urgent_pointer_0,362
frame_frame.len_0,361
tls_tls.record_tls.handshake_tls.handshake.ciphersuites_tls.handshake.ciphersuite_2,360
ip_ip.hdr_len_0,359
eth_eth.src_tree_eth.src.oui_2,358
tcp_Timestamps_tcp.time_delta_0,357
tls_tls.record_tls.handshake_Extension: key_share (len=38)_tls.handshake.extension.type_2,356
frame_frame.cap_len_1,355
tcp_Timestamps_tcp.time_relative_3,354
tls_tls.record_tls.handshake_Extension: server_name (len=24)_tls.handshake.extension.len_1,353
tls_tls.record_tls.handshake_Extension: key_share (len=38)_Key Share extension_tls.handshake.extensions_key_share_client_length_3,352
tls_tls.record_tls.handshake_tls.handshake.ciphersuites_tls.handshake.ciphersuite_3,351
"tls_tls.record_tls.handshake_Extension: key_share (len=38)_Key Share extension_Key Share Entry: Group: x25519, Key Exchange length: 32_tls.handshake.extensions_key_share_group_3",350
tcp_tcp.flags_tree_tcp.flags.ack_0,349
tls_tls.record_tls.handshake_Extension: psk_key_exchange_modes (len=2)_tls.handshake.extension.type_1,348
tls_tls.record_tls.handshake_tls.handshake.cipher_suites_length_3,347
tcp_tcp.flags_tree_tcp.flags.ack_1,346
tcp_tcp.urgent_pointer_1,345
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extensions_status_request_type_3,344
tls_tls.record_tls.handshake_Extension: server_name (len=20)_tls.handshake.extension.len_2,343
eth_eth.src_tree_eth.src.oui_1,342
tls_tls.record_tls.handshake_Extension: psk_key_exchange_modes (len=2)_tls.extension.psk_ke_mode_1,341
eth_eth.src_tree_eth.addr_resolved_0,340
tls_tls.record_tls.handshake_Extension: server_name (len=16)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_2,339
tls_tls.record_tls.handshake_Extension: supported_groups (len=8)_tls.handshake.extension.len_2,338
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extensions_status_request_responder_ids_len_3,337
tls_tls.record_tls.record.version_1,336
tcp_tcp.analysis_tcp.analysis.bytes_in_flight_1,335
tls_tls.record_tls.handshake_Extension: server_name (len=26)_Server Name Indication extension_tls.handshake.extensions_server_name_1,334
tls_tls.record_tls.handshake_Extension: supported_groups (len=8)_tls.handshake.extensions_supported_groups_length_3,333
tls_tls.record_tls.handshake_Extension: extended_master_secret (len=0)_tls.handshake.extension.len_2,332
tcp_tcp.flags_tree_tcp.flags.ece_4,331
tls_tls.record_tls.handshake_Extension: renegotiation_info (len=1)_tls.handshake.extension.len_4,330
eth_eth.dst_tree_eth.dst.lg_0,329
tls_tls.record_tls.record.version_4,328
eth_eth.src_tree_eth.src.oui_resolved_2,327
eth_eth.type_0,326
tls_tls.record_tls.handshake_Extension: server_name (len=15)_Server Name Indication extension_tls.handshake.extensions_server_name_2,325
tcp_tcp.window_size_scalefactor_2,324
tls_tls.record_tls.handshake_Extension: ec_point_formats (len=2)_tls.handshake.extension.len_4,323
tcp_tcp.flags_tree_tcp.flags.str_1,322
tls_tls.record_tls.handshake_Extension: renegotiation_info (len=1)_Renegotiation Info extension_tls.handshake.extensions_reneg_info_len_1,321
tls_tls.record_tls.handshake_Extension: server_name (len=23)_tls.handshake.extension.type_4,320
tcp_tcp.flags_tree_tcp.flags.syn_0,319
frame_frame.ignored_4,318
tls_tls.record_tls.handshake_Extension: key_share (len=38)_tls.handshake.extension.len_3,317
tcp_tcp.stream_4,316
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extension.type_4,315
eth_eth.dst_tree_eth.addr_2,314
tls_tls.record_tls.record.version_2,313
"tls_tls.record_tls.handshake_Extension: key_share (len=38)_Key Share extension_Key Share Entry: Group: x25519, Key Exchange length: 32_tls.handshake.extensions_key_share_key_exchange_4",312
eth_eth.src_tree_eth.addr_0,311
tls_tls.record_tls.handshake_Extension: server_name (len=17)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_1,310
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_tree_tls.handshake.sig_hash_sig_2,309
ip_ip.flags_tree_ip.flags.rb_4,308
tcp_tcp.flags_tree_tcp.flags.ae_2,307
eth_eth.src_tree_eth.lg_4,306
eth_eth.src_tree_eth.addr_resolved_4,305
tcp_tcp.flags_tree_tcp.flags.ece_0,304
tls_tls.record_tls.handshake_Extension: server_name (len=19)_tls.handshake.extension.len_4,303
ip_ip.checksum.status_0,302
frame_frame.ignored_0,301
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extensions_status_request_type_2,300
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.sig_hash_alg_len_3,299
tls_tls.record_tls.handshake_tls.handshake.length_2,298
tls_tls.record_tls.handshake_Extension: extended_master_secret (len=0)_tls.handshake.extension.type_2,297
frame_frame.time_delta_1,296
tls_tls.record_tls.handshake_Extension: session_ticket (len=0)_tls.handshake.extension.len_1,295
tls_tls.record_tls.handshake_Extension: psk_key_exchange_modes (len=2)_tls.handshake.extension.type_2,294
tcp_tcp.flags_tree_tcp.flags.res_4,293
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.extension.type_4,292
tls_tls.record_tls.handshake_Extension: server_name (len=17)_Server Name Indication extension_tls.handshake.extensions_server_name_type_3,291
tls_tls.record_tls.handshake_Extension: server_name (len=23)_tls.handshake.extension.type_1,290
ip_ip.checksum.status_1,289
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extensions_status_request_responder_ids_len_2,288
eth_eth.dst_tree_eth.addr.oui_resolved_0,287
tls_tls.record_tls.handshake_Extension: key_share (len=38)_tls.handshake.extension.type_3,286
tls_tls.record_tls.handshake_Extension: server_name (len=16)_tls.handshake.extension.len_2,285
tls_tls.record_tls.handshake_tls.handshake.cipher_suites_length_2,284
tcp_tcp.flags_tree_tcp.flags.reset_4,283
tls_tls.record_tls.handshake_Extension: supported_groups (len=8)_tls.handshake.extensions_supported_groups_tls.handshake.extensions_supported_group_4,282
tcp_tcp.window_size_scalefactor_3,281
ip_ip.len_4,280
frame_frame.len_2,279
eth_eth.dst_tree_eth.addr_resolved_4,278
tcp_tcp.analysis_tcp.analysis.bytes_in_flight_3,277
eth_eth.type_4,276
http_GET / HTTP/1.1\r\n__ws.expert_http.chat_0,275
eth_eth.dst_tree_eth.dst.oui_4,274
tls_tls.record_tls.handshake_Extension: ec_point_formats (len=2)_tls.handshake.extension.len_2,273
tls_tls.record_tls.handshake_Extension: server_name (len=15)_tls.handshake.extension.type_3,272
http_http.host_0,271
tls_tls.record_tls.handshake_Extension: server_name (len=21)_Server Name Indication extension_tls.handshake.extensions_server_name_type_4,270
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_tree_tls.handshake.sig_hash_sig_2,269
tls_tls.record_tls.handshake_tls.handshake.session_id_length_2,268
tls_tls.record_tls.handshake_tls.handshake.session_id_length_3,267
tcp_tcp.flags_tree_tcp.flags.str_3,266
tls_tls.record_tls.record.content_type_3,265
tls_tls.record_tls.handshake_Extension: server_name (len=21)_Server Name Indication extension_tls.handshake.extensions_server_name_3,264
http_http.cookie_0,263
eth_eth.src_tree_eth.ig_2,262
tcp_tcp.ack_raw_1,261
tls_tls.record_tls.handshake_Extension: server_name (len=21)_Server Name Indication extension_tls.handshake.extensions_server_name_type_1,260
tls_tls.record_tls.handshake_Extension: server_name (len=19)_Server Name Indication extension_tls.handshake.extensions_server_name_len_3,259
tls_tls.record_tls.handshake_Extension: server_name (len=21)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_3,258
tls_tls.record_tls.handshake_tls.handshake.type_3,257
tls_tls.record_tls.handshake_Extension: server_name (len=19)_Server Name Indication extension_tls.handshake.extensions_server_name_len_1,256
tls_tls.record_tls.handshake_Extension: session_ticket (len=0)_tls.handshake.extension.data_1,255
eth_eth.dst_tree_eth.dst.ig_3,254
eth_eth.dst_tree_eth.ig_1,253
eth_eth.src_0,252
eth_eth.dst_tree_eth.addr.oui_resolved_1,251
tls_tls.record_tls.handshake_Extension: server_name (len=21)_Server Name Indication extension_tls.handshake.extensions_server_name_1,250
tls_tls.record_tls.handshake_Extension: psk_key_exchange_modes (len=2)_tls.handshake.extension.len_3,249
tls_tls.record_tls.handshake_tls.handshake.comp_methods_length_3,248
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=16)_tls.handshake.sig_hash_alg_len_1,247
tls_tls.record_tls.handshake_tls.handshake.extensions_length_4,246
tls_tls.record_tls.handshake_tls.handshake.version_4,245
tls_tls.record_tls.handshake_Extension: server_name (len=23)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_2,244
tcp_tcp.flags_tree_tcp.flags.fin_1,243
tls_tls.record_tls.handshake_tls.handshake.comp_methods_length_2,242
tls_tls.record_tls.handshake_Extension: server_name (len=30)_Server Name Indication extension_tls.handshake.extensions_server_name_2,241
eth_eth.dst_tree_eth.addr_resolved_3,240
tcp_tcp.flags_tree_tcp.flags.ae_0,239
eth_eth.src_tree_eth.src.oui_4,238
tcp_Timestamps_tcp.time_relative_0,237
tls_tls.record_tls.handshake_Extension: server_name (len=23)_tls.handshake.extension.type_3,236
tls_tls.record_tls.handshake_tls.handshake.session_id_length_4,235
tls_tls.record_tls.handshake_Extension: server_name (len=16)_tls.handshake.extension.len_4,234
tcp_tcp.ack_4,233
tls_tls.record_tls.handshake_Extension: psk_key_exchange_modes (len=2)_tls.handshake.extension.len_4,232
IcedIdCookie_0,231
tls_tls.record_tls.handshake_Extension: ec_point_formats (len=2)_tls.handshake.extension.len_3,230
tls_tls.record_tls.handshake_Extension: supported_versions (len=5)_tls.handshake.extension.type_4,229
eth_eth.src_4,228
eth_eth.dst_tree_eth.ig_0,227
tcp_tcp.window_size_scalefactor_4,226
tls_tls.record_tls.handshake_Extension: renegotiation_info (len=1)_Renegotiation Info extension_tls.handshake.extensions_reneg_info_len_2,225
tcp_tcp.hdr_len_4,224
tls_tls.record_tls.handshake_Extension: server_name (len=15)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_3,223
tls_tls.record_tls.handshake_Extension: server_name (len=24)_tls.handshake.extension.type_1,222
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_tree_tls.handshake.sig_hash_sig_4,221
"tls_tls.record_tls.handshake_Extension: key_share (len=38)_Key Share extension_Key Share Entry: Group: x25519, Key Exchange length: 32_tls.handshake.extensions_key_share_key_exchange_length_3",220
eth_eth.src_tree_eth.ig_0,219
tcp_tcp.ack_raw_0,218
tls_tls.record_tls.handshake_tls.handshake.length_4,217
tcp_tcp.completeness_0,216
tls_tls.record_tls.record.content_type_4,215
tcp_tcp.flags_tree_tcp.flags.reset_3,214
eth_eth.dst_tree_eth.dst.oui_0,213
tls_tls.record_tls.handshake_Extension: supported_versions (len=5)_tls.handshake.extensions.supported_versions_len_2,212
tcp_tcp.len_1,211
tcp_tcp.flags_tree_tcp.flags.str_4,210
tcp_tcp.flags_tree_tcp.flags.ecn_1,209
tls_tls.record_tls.handshake_Extension: supported_versions (len=5)_tls.handshake.extension.len_3,208
tcp_tcp.nxtseq_4,207
tls_tls.record_tls.handshake_Extension: server_name (len=20)_Server Name Indication extension_tls.handshake.extensions_server_name_len_4,206
http_GET / HTTP/1.1\r\n_http.request.version_0,205
tls_tls.record_tls.handshake_Extension: server_name (len=16)_Server Name Indication extension_tls.handshake.extensions_server_name_type_2,204
ip_ip.dst_0,203
tls_tls.record_tls.handshake_Extension: server_name (len=24)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_4,202
tcp_tcp.ack_2,201
tls_tls.record_tls.handshake_tls.handshake.comp_methods_length_4,200
tls_tls.record_tls.handshake_Extension: server_name (len=20)_Server Name Indication extension_tls.handshake.extensions_server_name_type_2,199
tls_tls.record_tls.handshake_Extension: extended_master_secret (len=0)_tls.handshake.extension.len_3,198
eth_eth.dst_tree_eth.dst.ig_0,197
frame_frame.time_delta_0,196
ip_ip.id_2,195
tcp_tcp.analysis_tcp.analysis.push_bytes_sent_4,194
eth_eth.src_tree_eth.src.lg_2,193
eth_eth.src_tree_eth.src_resolved_0,192
tls_tls.record_tls.handshake_Extension: server_name (len=20)_Server Name Indication extension_tls.handshake.extensions_server_name_type_4,191
eth_eth.dst_2,190
tcp_tcp.flags_tree_tcp.flags.syn_4,189
tcp_tcp.len_4,188
ip_ip.id_4,187
tcp_tcp.seq_raw_0,186
tls_tls.record_tls.handshake_Extension: server_name (len=20)_tls.handshake.extension.len_4,185
tls_tls.record_tls.handshake_Extension: post_handshake_auth (len=0)_tls.handshake.extension.len_4,184
tls_tls.record_tls.handshake_Extension: server_name (len=16)_Server Name Indication extension_tls.handshake.extensions_server_name_len_4,183
ip_ip.ttl_2,182
frame_frame.cap_len_0,181
tcp_tcp.flags_tree_tcp.flags.ns_1,180
frame_frame.marked_4,179
tls_tls.record_tls.handshake_Extension: server_name (len=23)_tls.handshake.extension.len_4,178
tls_tls.record_tls.handshake_Extension: server_name (len=21)_tls.handshake.extension.type_4,177
tcp_tcp.flags_tree_tcp.flags.ecn_0,176
tls_tls.record_tls.handshake_Extension: server_name (len=20)_tls.handshake.extension.type_2,175
tcp_tcp.stream_1,174
tls_tls.record_tls.handshake_Extension: renegotiation_info (len=1)_tls.handshake.extension.type_4,173
tls_tls.record_tls.handshake_Extension: server_name (len=30)_Server Name Indication extension_tls.handshake.extensions_server_name_len_2,172
tcp_tcp.flags_tree_tcp.flags.str_0,171
tls_tls.record_tls.handshake_Extension: server_name (len=17)_tls.handshake.extension.len_1,170
"tls_tls.record_tls.handshake_Extension: key_share (len=38)_Key Share extension_Key Share Entry: Group: x25519, Key Exchange length: 32_tls.handshake.extensions_key_share_group_4",169
tls_tls.record_tls.record.length_1,168
tls_tls.record_tls.handshake_Extension: server_name (len=24)_tls.handshake.extension.type_4,167
tls_tls.record_tls.handshake_Extension: server_name (len=15)_tls.handshake.extension.len_4,166
tcp_tcp.nxtseq_0,165
ip_ip.proto_0,164
tls_tls.record_tls.handshake_Extension: server_name (len=15)_Server Name Indication extension_tls.handshake.extensions_server_name_len_2,163
tcp_tcp.analysis_tcp.analysis.bytes_in_flight_0,162
eth_eth.src_tree_eth.addr.oui_resolved_2,161
tcp_tcp.window_size_value_0,160
tls_tls.record_tls.handshake_Extension: supported_groups (len=6)_tls.handshake.extensions_supported_groups_tls.handshake.extensions_supported_group_2,159
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=16)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_1,158
ip_ip.src_4,157
tcp_tcp.flags_tree_tcp.flags.ae_1,156
